127.0.0.1 - - [17/May/2018:09:34:28 +0200] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [17/May/2018:09:34:29 +0200] "GET /OrdinaEMangia/PagamentoEffettuato.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:09:34:29 +0200] "GET /OrdinaEMangia/Cssfile.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:09:34:29 +0200] "GET /OrdinaEMangia/c_logo_marrone.png HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [17/May/2018:09:34:36 +0200] "GET /OrdinaEMangia/PagamentoEffettuato.html HTTP/1.1" 200 1304
0:0:0:0:0:0:0:1 - - [17/May/2018:09:34:36 +0200] "GET /OrdinaEMangia/Cssfile.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:09:34:36 +0200] "GET /OrdinaEMangia/c_logo_marrone.png HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [17/May/2018:09:34:55 +0200] "GET /OrdinaEMangia/PagamentoEffettuato.html HTTP/1.1" 200 1309
0:0:0:0:0:0:0:1 - - [17/May/2018:09:34:55 +0200] "GET /OrdinaEMangia/Cssfile.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:09:34:55 +0200] "GET /OrdinaEMangia/c_logo_marrone.png HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [17/May/2018:09:35:29 +0200] "GET /OrdinaEMangia/PagamentoEffettuato.html HTTP/1.1" 200 1309
0:0:0:0:0:0:0:1 - - [17/May/2018:09:35:29 +0200] "GET /OrdinaEMangia/Cssfile.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:09:35:29 +0200] "GET /OrdinaEMangia/c_logo_marrone.png HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [17/May/2018:09:35:43 +0200] "GET /OrdinaEMangia/PagamentoEffettuato.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:09:35:43 +0200] "GET /OrdinaEMangia/c_logo_marrone.png HTTP/1.1" 404 1110
